105122214,0.00,0.36,0,999,999,999,999,999,999,0,999,999,0,999,999,0,999,999,0,999,999,0,999,999,0,None,None,False
105122214,0.00,0.36,0,999,999,999,999,0.68,9.43,2,-0.96,9.28,2,0.72,9.22,2,999,999,0,999,999,0,999,999,0,None,None,False
105122215,-0.66,0.36,0,999,999,999,999,0.75,8.87,2,-0.87,8.69,2,0.79,8.68,2,999,999,0,999,999,0,999,999,0,None,LeftArrow,False
105122215,-0.75,0.36,0,999,999,999,999,0.85,8.31,2,-0.86,8.09,2,0.88,8.13,2,999,999,0,999,999,0,999,999,0,None,LeftArrow,False
105122215,-0.63,0.73,0,999,999,999,999,0.95,7.75,2,-0.93,7.50,2,0.98,7.59,2,999,999,0,999,999,0,999,999,0,UpArrow,RightArrow,False
105122215,-0.63,1.34,0,999,999,999,999,0.99,7.22,2,-1.03,6.95,2,1.02,7.07,2,999,999,0,999,999,0,999,999,0,UpArrow,None,False
105122216,-0.63,2.17,1,999,999,999,999,0.96,6.66,2,-1.14,6.36,2,0.99,6.52,2,999,999,0,999,999,0,999,999,0,UpArrow,None,True
105122216,-0.96,2.00,2,999,999,999,999,0.85,6.14,2,-1.19,5.80,2,0.87,6.01,2,999,999,0,999,999,0,999,999,0,None,LeftArrow,True
105122216,-1.04,1.91,3,999,999,999,999,0.66,5.61,2,-1.16,5.20,2,0.68,5.49,2,999,999,0,999,999,0,999,999,0,None,LeftArrow,True
105122217,-1.04,2.56,4,999,999,999,999,1.30,9.20,2,0.44,5.12,2,0.47,5.02,2,999,999,0,999,999,0,999,999,0,UpArrow,None,True
105122217,-0.38,2.56,4,999,999,999,999,1.32,8.76,2,0.22,4.60,2,0.25,4.52,2,999,999,0,999,999,0,999,999,0,None,RightArrow,False
105122217,-0.38,2.49,6,999,999,999,999,1.38,8.33,2,0.05,4.06,2,0.08,3.99,2,999,999,0,999,999,0,999,999,0,None,None,True
105122217,0.03,1.50,7,999,999,999,999,1.43,7.92,2,0.00,3.53,1,0.02,3.47,2,999,999,0,999,999,0,999,999,0,DownArrow,RightArrow,True
105122218,0.03,1.08,9,999,999,999,999,-0.61,9.37,1,-0.25,9.33,2,1.46,7.51,2,999,999,0,999,999,0,999,999,0,DownArrow,None,True
105122218,0.03,1.00,9,999,999,999,999,-0.52,9.00,1,-0.19,9.02,2,1.43,7.10,2,999,999,0,999,999,0,999,999,0,None,None,False
105122218,0.91,1.97,9,999,999,999,999,-0.16,9.25,1,-0.40,8.60,1,1.34,6.67,2,999,999,0,999,999,0,999,999,0,UpArrow,RightArrow,False
105122218,0.61,3.17,9,999,999,999,999,-0.05,8.82,1,-0.29,8.21,1,1.19,6.26,2,999,999,0,999,999,0,999,999,0,UpArrow,LeftArrow,False
105122219,0.61,3.19,11,999,999,999,999,0.02,8.40,1,-0.21,7.83,1,1.01,5.89,2,999,999,0,999,999,0,999,999,0,UpArrow,None,True
105122219,0.61,3.02,12,999,999,999,999,-0.08,9.34,2,0.05,7.95,1,-0.17,7.42,1,999,999,0,999,999,0,999,999,0,None,None,True
105122219,0.61,3.02,12,-1.650075,9.381235,999,999,-1.79,9.44,2,2.32,9.31,2,1.80,9.14,2,-0.17,8.80,2,0.01,7.50,1,-0.20,7.01,1,None,None,False
105122219,0.61,2.93,14,-1.512662,8.431116,999,999,-1.75,8.98,2,2.13,8.82,2,1.61,8.59,2,-0.21,8.27,2,-0.08,7.06,1,-0.28,6.61,1,None,None,True
105122220,0.61,2.85,14,-1.383837,7.540383,999,999,-1.67,8.56,2,1.92,8.36,2,1.40,8.08,2,-0.17,7.76,2,-0.20,6.65,1,-0.39,6.23,1,None,None,False
105122220,-0.44,3.32,14,-1.246424,6.590272,999,999,-1.52,8.13,2,1.71,7.88,2,1.18,7.53,2,-0.06,7.23,2,-0.32,6.22,1,-0.50,5.84,1,UpArrow,LeftArrow,False
105122220,-0.44,3.23,16,-1.117599,5.699543,999,999,2.37,9.47,3,-1.36,7.73,2,1.54,7.41,2,1.01,7.01,2,0.08,6.75,2,999,999,0,None,None,True
105122220,-0.44,3.15,17,-0.9801858,4.749431,999,999,0.50,9.21,2,2.29,9.19,3,-1.18,7.30,2,1.42,6.90,2,0.90,6.43,2,0.23,6.23,2,None,None,True
105122221,-0.44,3.07,18,-0.8427718,3.799319,999,999,0.50,8.88,2,2.25,8.90,3,-1.03,6.87,2,1.38,6.37,2,0.89,5.84,2,0.35,5.71,2,None,None,True
105122221,-1.02,3.07,18,999,999,999,999,0.55,8.57,2,2.24,8.63,3,-0.93,6.45,2,1.41,5.88,2,0.96,5.29,2,0.39,5.20,2,None,LeftArrow,False
105122221,-0.31,2.03,18,999,999,999,999,0.61,8.25,2,2.26,8.34,3,-0.91,5.99,2,1.49,5.35,2,1.10,4.72,2,0.33,4.67,2,DownArrow,RightArrow,False
105122221,0.65,1.56,1,999,999,999,999,0.68,7.92,2,2.27,8.05,3,-0.96,5.53,2,1.58,4.83,2,1.23,4.15,2,0.17,4.15,2,DownArrow,RightArrow,True
105122222,0.74,1.51,2,999,999,999,999,0.72,7.59,2,2.26,7.76,3,-1.05,5.08,2,1.61,4.30,2,1.30,3.56,2,999,999,0,None,RightArrow,True
105122222,1.32,0.81,3,999,999,999,999,2.22,7.49,3,-1.15,4.66,2,1.54,3.81,2,1.24,3.02,2,999,999,0,999,999,0,DownArrow,RightArrow,True
105122222,0.50,0.81,4,999,999,999,999,-2.07,9.25,2,2.13,7.21,3,-1.22,4.21,2,999,999,0,999,999,0,999,999,0,None,LeftArrow,True
