110192926,0.00,2.00,0,-2.119386,9.400148,999,999,-0.70,9.44,2,0.24,9.33,2,0.28,9.33,2,999,999,0,999,999,0,999,999,0,None,None,False
110192926,0.00,2.00,0,-2.157591,8.701187,999,999,-0.59,9.04,2,0.15,8.86,2,0.34,9.02,2,999,999,0,999,999,0,999,999,0,None,None,False
110192926,0.00,2.00,0,-2.201254,7.902375,999,999,-0.49,8.58,2,0.01,8.34,2,0.39,8.67,2,999,999,0,999,999,0,999,999,0,None,None,False
110192927,0.00,2.00,0,-2.244917,7.10357,999,999,-0.45,8.11,2,-0.13,7.81,2,0.39,8.32,2,999,999,0,999,999,0,999,999,0,None,None,False
110192927,0.00,2.00,0,-2.285851,6.35469,999,999,-0.48,7.66,2,-0.22,7.30,2,0.34,7.99,2,999,999,0,999,999,0,999,999,0,None,None,False
110192927,-0.86,1.47,0,-2.329515,5.555885,999,999,-0.56,7.19,2,-0.25,6.76,2,0.26,7.64,2,999,999,0,999,999,0,999,999,0,DownArrow,LeftArrow,False
110192927,-1.78,0.64,0,-2.370449,4.807005,999,999,-0.66,6.76,2,-0.19,6.25,2,0.16,7.33,2,999,999,0,999,999,0,999,999,0,DownArrow,LeftArrow,False
110192928,-2.50,0.64,1,-2.414112,4.0082,999,999,-0.76,6.30,2,-0.05,5.73,2,0.06,6.99,2,999,999,0,999,999,0,999,999,0,None,LeftArrow,True
110192928,-2.36,0.62,2,-2.455045,3.259316,999,999,-0.82,5.85,2,0.12,5.24,2,-0.01,6.66,2,999,999,0,999,999,0,999,999,0,UpArrow,RightArrow,True
110192928,-1.83,1.74,2,-2.498706,2.460507,999,999,-0.80,5.38,2,0.30,4.73,2,-0.03,6.31,2,999,999,0,999,999,0,999,999,0,UpArrow,RightArrow,False
110192928,-2.20,2.69,2,-2.539639,1.711624,999,999,-0.70,4.95,2,0.42,4.23,2,0.01,5.98,2,999,999,0,999,999,0,999,999,0,UpArrow,LeftArrow,False
110192929,-1.83,1.84,2,-2.5833,0.9128171,999,999,-0.52,4.51,2,0.45,3.69,2,0.10,5.63,2,999,999,0,999,999,0,999,999,0,DownArrow,RightArrow,False
110192929,-1.48,0.65,2,-2.626961,0.1140093,999,999,-0.31,4.08,2,0.35,3.16,2,0.21,5.30,2,999,999,0,999,999,0,999,999,0,DownArrow,RightArrow,False
110192929,-0.30,0.47,2,-2.667893,-0.634873,999,999,-0.11,3.68,2,0.14,2.69,2,0.32,4.98,2,999,999,0,999,999,0,999,999,0,DownArrow,RightArrow,False
