-0.48,-4.00,1.91,0.07,-1.21,1.10,0.38,-1.75,-1.92,1.83,RightArrow
2.12,-4.00,-1.21,0.04,-1.92,-0.29,0.62,4.08,999,999,LeftArrow
-0.01,-4.00,-1.21,-0.99,-1.92,-2.35,0.62,2.02,0.55,4.08,LeftArrow
-1.59,-4.00,-1.21,-2.02,0.62,-0.03,0.55,2.02,0.95,5.47,RightArrow
-0.43,-4.00,-1.21,-3.08,0.62,-2.15,0.55,-0.10,0.95,3.35,RightArrow
0.43,-4.00,-1.21,-4.11,0.55,-2.15,0.95,1.30,-2.00,5.27,LeftArrow
0.07,-4.00,0.55,-4.28,0.95,-0.83,-2.00,3.15,-1.58,5.20,RightArrow
0.00,-4.00,-1.89,6.00,999,999,999,999,999,999,None
-0.39,-4.00,-1.89,3.86,-0.81,5.87,999,999,999,999,LeftArrow
-1.69,-4.00,-1.89,1.81,-0.81,3.81,-0.77,5.87,999,999,None
-0.60,-4.00,-0.81,1.76,-0.77,3.81,1.60,5.93,999,999,None
-0.08,-4.00,1.60,4.88,2.41,5.80,999,999,999,999,None
1.55,-4.00,1.60,3.85,2.41,3.75,1.56,5.80,999,999,None
2.40,-4.00,1.60,2.82,2.41,1.68,1.56,3.74,0.56,5.80,None
2.00,-4.00,1.60,1.75,1.56,1.60,0.56,3.67,-2.69,5.73,Space
0.65,-4.00,0.56,1.59,-2.69,3.65,-2.75,5.83,999,999,LeftArrow
-0.29,-4.00,-2.69,1.59,-2.75,4.80,-2.28,5.67,999,999,LeftArrow
-2.99,-4.00,-2.69,-0.48,-2.75,3.77,-2.28,3.59,0.19,5.60,RightArrow
-2.80,-4.00,-2.75,2.73,-2.28,1.52,0.19,3.53,0.78,5.54,None
-2.19,-4.00,-2.75,1.70,0.19,1.47,0.78,3.47,-2.84,5.47,RightArrow
0.69,-4.00,-2.75,0.64,0.19,-0.66,0.78,1.35,-2.84,3.35,LeftArrow
0.87,-4.00,-2.75,-0.39,0.78,-0.71,-2.84,1.29,-1.74,5.14,LeftArrow
-1.43,-4.00,-2.75,-1.39,-2.84,-0.70,-1.74,3.15,2.27,5.60,LeftArrow
-2.53,-4.00,-1.74,1.07,2.27,4.56,-1.53,5.14,999,999,None
-1.57,-4.00,2.27,3.50,-1.53,3.02,0.77,5.07,999,999,Space
-1.05,-4.00,2.27,2.48,0.77,3.02,-2.92,5.07,999,999,RightArrow
1.20,-4.00,2.27,1.45,0.77,0.97,-2.92,3.02,-0.35,5.07,LeftArrow
2.18,-4.00,2.27,0.41,-2.92,0.94,-0.35,3.00,-1.80,5.06,LeftArrow
-0.33,-4.00,-2.92,-1.19,-0.35,0.86,-1.80,2.93,0.01,5.60,LeftArrow
-2.22,-4.00,-0.35,-1.20,-1.80,0.86,0.01,4.57,999,999,RightArrow
-1.09,-4.00,-1.80,-1.19,0.01,3.54,-1.29,4.01,999,999,LeftArrow
-1.30,-4.00,0.01,2.50,-1.29,1.93,-2.32,3.98,0.71,6.00,RightArrow
-0.81,-4.00,0.01,1.47,-2.32,1.91,0.71,4.97,0.47,5.93,Space
-1.11,-4.00,0.01,0.41,-2.32,-0.21,0.71,3.91,0.47,3.81,LeftArrow
-2.48,-4.00,-2.32,-2.26,0.71,2.88,0.47,1.76,-1.74,4.41,RightArrow
0.37,-4.00,0.71,1.85,0.47,-0.30,-1.74,2.35,1.76,4.41,Space
0.82,-4.00,0.71,0.79,-1.74,0.23,1.76,2.29,-0.49,5.01,None
